"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:39.5","5:39.5","1.00","5:39","123","132","--","--","160","1.10","67","5:05","165","5:27","5:27"
"2","5:29.8","11:09","1.00","5:30","126","134","9","--","162","1.12","65","4:59","168","5:19","5:19"
"3","5:29.7","16:39","1.00","5:30","132","136","12","--","163","1.12","68","5:07","166","5:29.7","5:30"
"4","5:14.5","21:53","1.00","5:14","134","139","6","7","162","1.18","63","5:06","165","5:14.5","5:14"
"5","5:21.6","27:15","1.00","5:22","136","141","14","11","162","1.15","64","4:59","166","5:21","5:21"
"6","5:21.1","32:36","1.00","5:21","136","145","9","10","162","1.15","62","4:47","166","5:21","5:21"
"7","5:20.9","37:57","1.00","5:21","136","144","4","--","162","1.15","60","5:03","166","5:20.9","5:21"
"8","5:14.8","43:12","1.00","5:15","135","139","--","12","163","1.17","54","5:08","165","5:14.8","5:15"
"9","5:19.5","48:31","1.00","5:19","133","139","--","--","161","1.17","52","4:34","166","5:19","5:19"
"10","5:17.4","53:49","1.00","5:17","133","140","--","4","161","1.18","51","5:15","164","5:17.4","5:17"
"11","4:57.5","58:46","1.00","4:58","132","145","--","11","160","1.26","47","4:38","166","4:55","4:55"
"12","3:13.8","1:02:00","0.64","5:01","136","139","--","--","161","1.24","32","4:53","164","3:13.8","5:01"
"Summary","1:02:00","1:02:00","11.64","5:19","133","145","56","56","162","1.16","685","4:34","168","1:01:33","5:17"
