"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:07.8","5:07.8","1.00","5:08","116","130","--","9","163","1.19","51","4:29","170","5:05","5:05"
"2","4:59.9","10:08","1.00","5:00","134","156","9","12","166","1.21","65","4:46","170","4:59.9","5:00"
"3","5:10.0","15:18","1.00","5:10","139","147","10","--","165","1.17","71","4:57","168","5:10.0","5:10"
"4","5:26.8","20:44","1.00","5:27","132","136","--","1","165","1.12","63","5:01","168","5:26.8","5:27"
"5","5:12.6","25:57","1.00","5:13","135","143","--","8","164","1.17","61","4:56","170","5:12","5:12"
"6","5:07.1","31:04","1.00","5:07","135","139","--","--","165","1.19","59","5:04","168","5:07","5:07"
"7","5:06.9","36:11","1.00","5:07","138","144","--","4","165","1.18","62","4:58","168","5:06.9","5:07"
"8","5:09.5","41:21","1.00","5:10","138","143","2","--","164","1.18","61","5:07","168","5:09","5:09"
"9","4:44.4","46:05","1.00","4:44","146","167","24","19","165","1.28","64","3:58","173","4:44","4:44"
"10","4:46.6","50:52","0.90","5:20","157","172","7","--","162","1.16","76","4:35","168","4:46","5:19"
"Summary","50:52","50:52","9.90","5:08","137","172","52","53","164","1.18","633","3:58","173","50:47","5:08"
