"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:53.1","6:53.1","1.00","6:53","143","166","45","12","157","0.93","101","4:51","166","6:53","6:53"
"2","5:27.6","12:21","1.00","5:28","149","156","--","76","159","1.15","85","4:49","164","5:27.6","5:28"
"3","5:31.4","17:52","1.00","5:31","151","161","--","12","160","1.13","86","5:19","164","5:31","5:31"
"4","5:35.3","23:27","1.00","5:35","157","161","6","--","161","1.11","92","5:30","166","5:35.3","5:35"
"5","5:42.6","29:10","1.00","5:43","163","173","4","--","161","1.09","96","5:31","164","5:42","5:42"
"6","5:48.2","34:58","1.00","5:48","168","174","14","10","161","1.07","100","5:16","164","5:48","5:48"
"7","6:09.0","41:07","1.00","6:09","163","174","42","--","160","1.01","100","5:29","164","6:09.0","6:09"
"8","5:19.3","46:27","1.00","5:19","160","168","9","24","160","1.17","83","4:57","164","5:19.3","5:19"
"9","5:16.9","51:43","1.00","5:17","157","164","13","34","161","1.18","81","3:40","170","5:16.9","5:17"
"10","5:25.0","57:08","1.00","5:25","148","158","17","10","161","1.15","60","4:56","170","5:25.0","5:25"
"11","4:57.8","1:02:06","1.00","4:58","142","169","--","34","160","1.26","35","4:19","166","4:57","4:57"
"12","5:58.2","1:08:04","1.00","5:58","138","144","36","--","162","1.03","33","5:11","165","5:58.2","5:58"
"13","0:04.9","1:08:09","0.01","7:41","138","139","--","--","161","0.81","0","6:24","162","0:04","6:16"
"Summary","1:08:09","1:08:09","12.01","5:40","153","174","187","211","160","1.10","952","3:40","170","1:08:06","5:40"
