"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:44.6","5:44.6","1.00","5:45","162","172","--","3","163","1.07","93","4:59","182","5:44","5:44"
"2","5:36.9","11:21","1.00","5:37","138","169","9","--","162","1.10","68","5:17","166","5:36.9","5:37"
"3","5:39.1","17:01","1.00","5:39","141","147","5","--","162","1.10","75","5:30","166","5:39","5:39"
"4","5:28.9","22:29","1.00","5:29","143","148","7","14","162","1.12","74","5:22","168","5:28.9","5:29"
"5","5:34.7","28:04","1.00","5:35","147","160","3","6","160","1.12","78","5:03","165","5:34","5:34"
"6","5:14.4","33:19","1.00","5:14","139","148","--","--","161","1.18","60","4:50","199","5:14.4","5:14"
"7","5:34.2","38:53","1.00","5:34","146","162","4","3","161","1.12","75","5:05","166","5:34","5:34"
"8","3:58.7","42:51","0.76","5:13","149","155","--","--","161","1.19","56","4:59","165","3:58.7","5:13"
"Summary","42:51","42:51","7.76","5:31","146","172","28","26","162","1.12","579","4:50","199","42:50","5:31"
