"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:49.5","4:49.5","1.00","4:50","135","144","--","--","169","1.23","63","4:38","174","4:49.5","4:50"
"2","4:41.2","9:30.7","1.00","4:41","144","149","--","7","169","1.26","67","4:29","173","4:41","4:41"
"3","4:56.1","14:27","1.00","4:56","147","154","1","--","169","1.20","73","4:41","174","4:56","4:56"
"4","4:47.7","19:15","1.00","4:48","149","153","4","4","169","1.23","71","4:18","177","4:47.7","4:48"
"5","4:45.3","24:00","1.00","4:45","150","159","--","--","168","1.25","70","4:38","173","4:45","4:45"
"6","4:47.2","28:47","1.00","4:47","151","158","--","--","168","1.24","70","4:40","172","4:47","4:47"
"7","4:50.1","33:37","1.00","4:50","156","164","8","--","166","1.25","74","4:37","171","4:50","4:50"
"8","4:43.4","38:20","1.00","4:43","158","166","--","6","169","1.25","73","4:37","174","4:43.4","4:43"
"9","4:53.7","43:14","1.00","4:54","157","162","8","4","168","1.22","75","4:38","172","4:53","4:53"
"10","4:49.1","48:03","1.00","4:49","159","168","6","4","168","1.24","74","4:41","172","4:49","4:49"
"11","4:47.0","52:50","1.00","4:47","156","167","2","4","167","1.25","70","4:36","172","4:47.0","4:47"
"12","4:51.6","57:42","1.00","4:52","154","159","--","1","168","1.23","69","4:44","172","4:51.6","4:52"
"13","4:53.7","1:02:36","1.00","4:54","154","166","14","--","167","1.22","69","4:49","172","4:53.7","4:54"
"14","4:52.7","1:07:28","1.00","4:53","155","162","--","12","168","1.22","68","4:43","171","4:52","4:52"
"15","4:49.3","1:12:18","1.00","4:49","153","159","5","--","167","1.24","64","4:40","172","4:49.3","4:49"
"16","4:48.3","1:17:06","1.00","4:48","156","164","--","5","168","1.24","68","4:41","172","4:48","4:48"
"17","4:48.2","1:21:54","1.00","4:48","163","171","--","2","168","1.24","74","4:43","172","4:48","4:48"
"18","4:48.6","1:26:43","1.00","4:49","155","162","--","--","169","1.23","62","4:42","172","4:48.6","4:49"
"19","4:49.4","1:31:32","1.00","4:49","155","160","--","--","169","1.23","58","4:47","174","4:49","4:49"
"20","4:42.5","1:36:15","1.00","4:42","154","159","3","7","169","1.26","54","4:39","173","4:42.5","4:42"
"21","0:10.6","1:36:25","0.04","4:46","153","154","--","--","170","1.23","1","4:38","173","0:10","4:29"
"Summary","1:36:25","1:36:25","20.04","4:49","153","171","52","55","168","1.24","1,367","4:18","177","1:36:21","4:49"
