"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:59.2","4:59.2","1.00","4:59","135","148","5","4","163","1.23","67","4:48","166","4:59.2","4:59"
"2","4:59.2","9:58.5","1.00","4:59","138","150","2","7","164","1.22","68","4:47","166","4:59","4:59"
"3","5:16.2","15:15","1.00","5:16","144","161","--","--","163","1.16","77","5:02","170","5:16","5:16"
"4","5:48.1","21:03","1.00","5:48","153","160","9","--","164","1.05","91","5:05","169","5:48","5:48"
"5","4:55.1","25:58","1.00","4:55","156","163","4","8","165","1.23","79","4:25","179","4:55.1","4:55"
"6","0:07.4","26:05","0.02","5:29","154","154","--","--","165","1.10","1","4:58","166","0:07","5:13"
"Summary","26:05","26:05","5.02","5:12","145","163","19","18","164","1.18","383","4:25","179","26:04","5:11"
