"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:06.0","5:06.0","1.00","5:06","132","146","--","7","166","1.18","64","4:29","170","4:56","4:56"
"2","5:05.7","10:12","1.00","5:06","139","148","10","--","169","1.16","69","4:35","174","5:05","5:05"
"3","4:56.6","15:08","1.00","4:57","140","147","7","4","168","1.21","67","4:31","175","4:56.6","4:57"
"4","4:53.9","20:02","1.00","4:54","139","147","--","3","168","1.22","64","4:51","170","4:53.9","4:54"
"5","4:58.6","25:01","1.00","4:59","141","148","4","3","167","1.20","65","4:54","171","4:58","4:58"
"6","4:59.6","30:00","1.00","5:00","139","146","--","12","167","1.20","61","4:47","172","4:59.6","5:00"
"7","4:52.2","34:53","1.00","4:52","141","146","11","19","167","1.23","61","4:45","172","4:52","4:52"
"8","5:02.6","39:55","1.00","5:03","142","146","5","--","167","1.19","63","4:52","172","5:02.6","5:03"
"9","5:08.9","45:04","1.00","5:09","144","148","13","3","167","1.16","66","4:58","170","5:08.9","5:09"
"10","2:37.7","47:42","0.52","5:06","140","144","--","--","166","1.18","30","5:08","168","2:37","5:05"
"Summary","47:42","47:42","9.52","5:01","140","148","49","51","167","1.19","610","4:29","175","47:30","4:59"
