"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:44.6","4:44.6","1.00","4:45","155","164","--","7","167","1.26","75","4:21","177","4:39","4:39"
"2","4:49.7","9:34.4","1.00","4:50","156","165","10","15","167","1.24","77","4:09","178","4:49.7","4:50"
"3","4:49.7","14:24","1.00","4:50","145","149","3","--","166","1.25","69","4:41","170","4:49.7","4:50"
"4","5:04.6","19:29","1.00","5:05","144","148","3","--","166","1.19","70","4:41","170","5:04","5:04"
"5","5:06.6","24:35","1.00","5:07","146","155","--","--","166","1.18","72","4:48","168","5:06.6","5:07"
"6","5:02.9","29:38","1.00","5:03","145","152","19","9","165","1.20","68","4:44","170","5:02.9","5:03"
"7","5:00.8","34:39","1.00","5:01","148","156","5","10","165","1.21","70","4:56","168","5:00.8","5:01"
"8","5:03.4","39:42","1.00","5:03","148","152","--","7","165","1.20","70","4:50","168","5:03","5:03"
"9","4:59.3","44:42","1.00","4:59","150","158","--","--","165","1.21","70","4:50","170","4:59","4:59"
"10","5:01.6","49:43","1.00","5:02","150","153","--","2","165","1.20","69","4:53","170","5:01.6","5:02"
"11","5:19.5","55:03","1.00","5:19","150","163","6","--","165","1.14","71","4:18","170","5:18","5:18"
"12","2:24.5","57:27","0.50","4:48","138","153","7","--","165","1.26","18","4:46","168","2:24","4:47"
"Summary","57:27","57:27","11.50","5:00","148","165","53","50","166","1.21","799","4:09","178","57:18","4:59"
