"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:33.2","5:33.2","1.00","5:33","173","183","4","1","164","1.10","101","4:44","168","5:28","5:28"
"2","5:06.5","10:40","1.00","5:07","174","185","9","2","165","1.18","94","4:47","168","5:06","5:06"
"3","5:06.8","15:47","1.00","5:07","136","140","11","--","167","1.17","56","4:59","173","5:06.8","5:07"
"4","4:58.1","20:45","1.00","4:58","135","140","5","--","166","1.21","52","4:50","170","4:58","4:58"
"5","4:58.1","25:43","1.00","4:58","137","143","--","5","166","1.21","54","4:43","170","4:58","4:58"
"6","5:01.8","30:45","1.00","5:02","137","141","--","7","166","1.20","53","4:48","168","5:01.8","5:02"
"7","5:00.0","35:45","1.00","5:00","136","141","5","7","164","1.22","49","4:49","170","5:00.0","5:00"
"8","4:56.5","40:41","1.00","4:56","137","140","6","4","166","1.22","50","4:47","170","4:56","4:56"
"9","4:50.6","45:32","1.00","4:51","136","142","3","12","166","1.25","45","4:44","172","4:50.6","4:51"
"10","4:51.2","50:23","1.00","4:51","136","142","--","4","167","1.24","46","4:44","170","4:51.2","4:51"
"11","5:08.4","55:31","1.00","5:08","141","146","11","--","167","1.17","59","4:46","170","5:07","5:07"
"12","4:49.9","1:00:21","1.00","4:50","133","139","--","9","166","1.25","37","4:28","170","4:49.9","4:50"
"13","4:42.6","1:05:04","1.00","4:43","135","145","--","3","166","1.28","41","4:23","170","4:41","4:41"
"14","1:45.5","1:06:49","0.37","4:47","138","141","--","--","165","1.27","16","4:38","168","1:45.5","4:47"
"Summary","1:06:49","1:06:49","13.37","5:00","142","185","54","53","166","1.21","753","4:23","173","1:06:40","4:59"
