"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:52.4","5:52.4","1.00","5:52","128","154","--","7","163","1.05","71","5:12","168","5:52.4","5:52"
"2","5:38.6","11:31","1.00","5:39","122","129","12","--","164","1.08","58","5:08","168","5:38","5:38"
"3","5:24.1","16:55","1.00","5:24","125","130","5","--","164","1.13","56","5:16","168","5:24","5:24"
"4","5:32.4","22:27","1.00","5:32","118","127","--","17","163","1.11","47","5:16","168","5:32.4","5:32"
"5","5:25.1","27:52","1.00","5:25","125","133","--","4","165","1.12","52","5:10","168","5:25","5:25"
"6","5:37.5","33:30","1.00","5:37","130","137","8","--","163","1.09","59","5:33","166","5:37","5:37"
"7","3:39.7","37:10","0.65","5:35","129","132","3","--","163","1.09","37","4:08","166","3:39.7","5:35"
"Summary","37:10","37:10","6.65","5:35","125","154","28","28","164","1.09","380","4:08","168","37:08","5:35"
