"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:21.4","5:21.4","1.00","5:21","136","148","--","13","163","1.14","70","4:56","168","5:21","5:21"
"2","5:10.6","10:32","1.00","5:11","142","147","6","5","165","1.17","72","4:40","166","5:10","5:10"
"3","5:01.4","15:33","1.00","5:01","143","149","--","--","165","1.21","69","4:47","168","5:01.4","5:01"
"4","5:01.9","20:35","1.00","5:02","145","148","--","4","164","1.21","70","4:54","168","5:01.9","5:02"
"5","5:08.7","25:44","1.00","5:09","145","151","4","--","165","1.18","70","4:55","168","5:08.7","5:09"
"6","5:00.0","30:44","1.00","5:00","146","150","6","2","164","1.22","68","4:54","166","5:00","5:00"
"7","5:11.0","35:55","1.00","5:11","146","152","--","10","164","1.18","68","4:50","168","5:11.0","5:11"
"8","5:22.7","41:18","1.00","5:23","144","158","8","--","163","1.14","67","4:19","172","5:22","5:22"
"9","4:25.6","45:43","1.00","4:26","156","166","6","9","164","1.37","66","4:13","168","4:25.6","4:26"
"10","3:59.4","49:43","0.78","5:07","149","168","24","12","161","1.21","50","4:44","166","3:58","5:05"
"Summary","49:43","49:43","9.78","5:05","145","168","54","55","164","1.20","670","4:13","172","49:40","5:05"
