"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:28.1","5:28.1","1.00","5:28","122","139","21","--","164","1.12","64","4:57","168","5:28","5:28"
"2","7:03.8","12:32","1.00","7:04","145","156","114","--","161","0.88","110","5:12","168","7:03.8","7:04"
"3","5:22.1","17:54","1.00","5:22","141","150","29","23","163","1.14","78","4:50","167","5:22","5:22"
"4","5:06.8","23:01","1.00","5:07","131","141","10","--","164","1.19","60","4:33","168","5:06","5:06"
"5","5:05.5","28:06","1.00","5:06","139","147","--","7","165","1.19","68","4:23","168","5:05.5","5:05"
"6","6:01.5","34:08","1.00","6:01","128","148","39","44","160","1.04","61","4:42","224","6:00","6:00"
"7","4:36.7","38:44","1.00","4:37","117","130","--","103","161","1.35","31","2:56","177","4:36.7","4:37"
"8","5:34.2","44:19","1.00","5:34","129","141","2","16","162","1.11","57","4:50","166","5:34","5:34"
"9","5:12.9","49:31","1.00","5:13","133","138","--","12","163","1.18","56","4:56","166","5:12.9","5:13"
"10","5:33.9","55:05","1.00","5:34","132","140","--","12","161","1.11","56","5:05","166","5:33","5:33"
"11","0:15.3","55:21","0.05","5:35","133","134","--","--","160","1.12","2","5:24","164","0:15.3","5:35"
"Summary","55:21","55:21","10.05","5:31","132","156","214","217","162","1.12","643","2:56","224","55:17","5:30"
