"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:20.3","5:20.3","1.00","5:20","133","173","14","--","162","1.16","71","4:52","166","5:20.3","5:20"
"2","5:24.0","10:44","1.00","5:24","130","141","4","--","163","1.14","65","4:44","168","5:24.0","5:24"
"3","5:30.6","16:15","1.00","5:31","132","140","15","--","164","1.11","67","5:04","170","5:30.6","5:31"
"4","5:23.9","21:39","1.00","5:24","131","141","7","1","164","1.13","61","5:12","166","5:23.9","5:24"
"5","5:21.0","27:00","1.00","5:21","129","133","--","--","164","1.14","54","5:02","166","5:21","5:21"
"6","5:29.9","32:30","1.00","5:30","131","137","3","--","164","1.11","57","5:19","170","5:29.9","5:30"
"7","5:32.3","38:02","1.00","5:32","129","134","--","12","164","1.10","52","5:15","166","5:32","5:32"
"8","5:25.6","43:28","1.00","5:26","131","136","--","6","164","1.13","53","5:16","166","5:25.6","5:26"
"9","5:00.0","48:28","1.00","5:00","131","142","--","12","164","1.22","48","4:48","179","5:00","5:00"
"10","3:31.7","51:59","0.74","4:46","136","139","12","12","164","1.28","38","4:38","166","3:30","4:44"
"Summary","51:59","51:59","9.74","5:20","131","173","55","44","163","1.15","566","4:38","179","51:57","5:20"
