"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:07.6","5:07.6","1.00","5:08","123","132","--","--","164","1.19","57","4:47","168","5:07.6","5:08"
"2","5:10.3","10:18","1.00","5:10","129","141","11","5","164","1.18","60","4:47","168","5:10","5:10"
"3","5:12.4","15:30","1.00","5:12","132","140","10","8","164","1.17","62","5:05","168","5:12","5:12"
"4","5:06.2","20:36","1.00","5:06","130","134","--","--","162","1.21","55","4:51","164","5:06","5:06"
"5","5:06.4","25:43","1.00","5:06","131","134","21","18","162","1.21","54","4:54","166","5:06.4","5:06"
"6","4:59.7","30:43","1.00","5:00","132","137","5","17","163","1.23","53","4:47","166","4:59","4:59"
"7","5:27.0","36:09","1.00","5:27","137","145","17","6","162","1.13","63","5:06","168","5:27.0","5:27"
"8","5:08.7","41:18","1.00","5:09","139","144","3","--","163","1.19","62","5:01","166","5:08.7","5:09"
"9","5:01.1","46:19","1.00","5:01","135","139","--","5","163","1.22","51","3:36","170","5:01.1","5:01"
"10","5:01.1","51:20","1.00","5:01","132","140","--","4","162","1.23","45","4:44","166","5:01","5:01"
"11","1:43.5","53:04","0.35","4:55","133","137","--","--","161","1.27","15","4:52","164","1:43","4:53"
"Summary","53:04","53:04","10.35","5:08","132","145","67","62","163","1.20","577","3:36","170","53:02","5:07"
