"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:12.6","6:12.6","1.00","6:13","121","134","--","15","158","1.02","70","5:47","168","6:12.6","6:13"
"2","7:17.9","13:31","1.00","7:18","127","153","18","--","159","0.86","85","4:08","166","6:54","6:54"
"3","5:58.2","19:29","1.00","5:58","127","136","9","5","161","1.04","65","5:52","165","5:58","5:58"
"4","7:46.0","27:15","1.00","7:46","127","138","--","16","161","0.80","80","4:12","175","7:23","7:23"
"5","6:06.9","33:22","1.00","6:07","130","141","9","4","161","1.02","65","5:23","166","6:06.9","6:07"
"6","6:02.8","39:24","1.00","6:03","134","139","4","2","161","1.03","69","5:21","168","5:52","5:52"
"7","0:24.6","39:49","0.06","6:20","132","134","--","--","164","0.96","4","5:12","166","0:24.6","6:20"
"Summary","39:49","39:49","6.06","6:34","128","153","40","42","160","0.95","438","4:08","175","38:51","6:24"
