"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:02.6","5:02.6","1.00","5:03","143","158","10","10","163","1.21","73","4:41","166","5:02.6","5:03"
"2","5:10.0","10:13","1.00","5:10","153","166","11","3","164","1.18","83","4:06","227","5:10.0","5:10"
"3","5:15.7","15:28","1.00","5:16","152","168","8","--","163","1.17","81","5:00","166","5:15.7","5:16"
"4","5:01.9","20:30","1.00","5:02","158","167","7","--","163","1.22","81","4:54","167","5:01","5:01"
"5","5:01.4","25:32","1.00","5:01","149","160","2","3","164","1.21","74","4:50","167","5:01.4","5:01"
"6","4:54.2","30:26","1.00","4:54","147","153","--","9","164","1.24","69","4:41","167","4:54","4:54"
"7","4:59.9","35:26","1.00","5:00","148","152","2","--","164","1.22","70","4:47","166","4:59.9","5:00"
"8","4:49.4","40:15","1.00","4:49","149","157","3","14","164","1.26","68","4:39","166","4:49","4:49"
"9","4:53.9","45:09","1.00","4:54","149","154","--","4","165","1.24","67","4:45","168","4:53.9","4:54"
"10","5:02.8","50:12","1.00","5:03","155","161","13","--","166","1.20","77","4:47","168","5:02.8","5:03"
"11","4:55.0","55:07","1.00","4:55","147","151","--","10","164","1.24","61","4:50","168","4:55","4:55"
"12","4:33.8","59:41","1.00","4:34","150","164","--","2","164","1.34","57","4:01","170","4:33","4:33"
"13","2:29.4","1:02:10","0.55","4:32","159","166","11","12","165","1.33","39","4:22","168","2:29","4:32"
"Summary","1:02:10","1:02:10","12.55","4:57","150","168","67","68","162","1.23","900","4:01","227","1:02:07","4:57"
