"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:06.2","5:06.2","1.00","5:06","146","151","--","8","164","1.20","76","4:54","168","5:06","5:06"
"2","4:57.6","10:04","1.00","4:58","153","154","6","2","164","1.23","79","4:44","168","4:57.6","4:58"
"3","4:51.7","14:55","1.00","4:52","156","158","8","--","166","1.24","78","3:36","189","4:51","4:51"
"4","4:43.1","19:39","1.00","4:43","159","161","--","8","165","1.28","77","3:08","189","4:43","4:43"
"5","4:45.4","24:24","1.00","4:45","162","164","--","2","165","1.27","79","3:10","185","4:45.4","4:45"
"6","4:45.6","29:10","1.00","4:46","166","167","--","--","165","1.27","80","3:26","185","4:45.6","4:46"
"7","4:44.0","33:53","1.00","4:44","168","169","--","2","166","1.27","81","2:51","187","4:43","4:43"
"8","4:45.8","38:39","1.00","4:46","169","169","7","--","165","1.27","82","3:26","195","4:45.8","4:46"
"9","4:38.6","43:18","1.00","4:39","169","169","--","6","165","1.30","80","3:14","181","4:38.6","4:39"
"10","4:37.5","47:55","1.00","4:38","169","169","2","--","166","1.30","79","2:50","187","4:37","4:37"
"11","4:47.1","52:42","0.92","5:11","169","169","9","6","164","1.17","82","2:39","198","4:47","5:11"
"Summary","52:42","52:42","10.92","4:50","162","169","32","33","165","1.25","873","2:39","198","52:40","4:49"
