"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:56.0","4:56.0","1.00","4:56","144","155","--","--","166","1.22","74","3:58","174","4:55","4:55"
"2","5:16.9","10:13","1.00","5:17","148","156","--","9","167","1.13","81","4:27","171","5:02","5:02"
"3","4:51.7","15:05","1.00","4:52","150","154","4","9","168","1.23","75","4:44","170","4:51.7","4:52"
"4","4:45.2","19:50","1.00","4:45","152","156","7","7","168","1.25","74","4:37","172","4:45","4:45"
"5","4:47.6","24:37","1.00","4:48","155","162","5","--","168","1.24","77","4:34","170","4:47.6","4:48"
"6","5:11.4","29:49","1.00","5:11","160","179","8","7","166","1.16","85","4:41","170","5:11","5:11"
"7","4:49.8","34:39","1.00","4:50","168","176","--","--","168","1.23","84","4:45","170","4:49.8","4:50"
"8","5:30.9","40:10","1.00","5:31","165","175","10","--","162","1.12","91","4:54","172","5:30.9","5:31"
"9","2:29.0","42:39","0.50","5:00","168","171","--","--","166","1.20","42","5:03","168","2:29","5:00"
"Summary","42:39","42:39","8.50","5:01","156","179","34","32","167","1.20","683","3:58","174","42:22","4:59"
