"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:04.4","5:04.4","1.00","5:04","151","156","--","11","164","1.20","81","4:45","168","5:04","5:04"
"2","5:14.3","10:19","1.00","5:14","158","160","17","--","164","1.17","89","4:50","166","5:14.3","5:14"
"3","5:10.7","15:29","1.00","5:11","161","163","7","5","163","1.19","89","4:41","168","5:10","5:10"
"4","5:07.2","20:37","1.00","5:07","165","167","5","8","163","1.20","90","5:05","166","5:07.2","5:07"
"5","5:08.1","25:45","1.00","5:08","168","170","4","3","163","1.19","91","5:05","166","5:08","5:08"
"6","5:06.9","30:52","1.00","5:07","172","173","--","12","162","1.21","93","4:53","164","5:06.9","5:07"
"7","5:13.2","36:05","1.00","5:13","173","174","--","5","163","1.18","96","4:52","166","5:13","5:13"
"8","5:13.9","41:19","1.00","5:14","174","174","--","2","162","1.18","96","5:05","166","5:13.9","5:14"
"9","5:23.3","46:42","1.00","5:23","174","174","14","--","162","1.15","99","5:05","166","5:23","5:23"
"10","1:57.7","48:40","0.36","5:31","174","174","--","2","161","1.13","36","5:17","162","1:57.7","5:31"
"Summary","48:40","48:40","9.36","5:12","167","174","46","48","163","1.18","860","4:41","168","48:38","5:12"
