"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:13.6","5:13.6","1.00","5:14","139","163","--","7","166","1.16","73","5:00","172","5:13","5:13"
"2","6:29.6","11:43","1.00","6:30","124","137","15","--","165","0.93","70","4:48","170","5:41","5:41"
"3","5:17.1","17:00","1.00","5:17","131","137","7","7","164","1.15","62","4:55","168","5:17","5:17"
"4","5:15.6","22:16","1.00","5:16","130","134","4","8","164","1.16","58","5:05","166","5:15.6","5:16"
"5","5:14.9","27:31","1.00","5:15","129","133","14","20","164","1.16","54","5:06","168","5:14.9","5:15"
"6","5:29.4","33:00","1.00","5:29","131","139","--","6","164","1.11","57","5:06","168","5:29","5:29"
"7","5:19.1","38:19","1.00","5:19","138","143","18","--","165","1.14","65","4:58","170","5:19","5:19"
"8","5:19.4","43:39","1.00","5:19","136","142","5","5","165","1.14","60","4:41","170","5:19.4","5:19"
"9","4:52.8","48:31","1.00","4:53","137","147","4","5","165","1.24","55","4:11","170","4:52.8","4:53"
"10","3:37.9","52:09","0.77","4:41","141","146","2","4","164","1.30","45","4:13","170","3:37","4:40"
"Summary","52:09","52:09","9.77","5:20","133","163","68","63","165","1.14","599","4:11","172","51:19","5:15"
