"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:28.2","5:28.2","1.00","5:28","134","145","--","3","164","1.11","73","4:31","216","5:28.2","5:28"
"2","6:04.1","11:32","1.00","6:04","145","168","--","7","160","1.03","90","3:42","184","6:02","6:02"
"3","5:27.0","16:59","1.00","5:27","150","154","3","--","162","1.13","84","4:42","171","5:27.0","5:27"
"4","5:19.3","22:19","1.00","5:19","153","160","--","--","163","1.15","84","3:49","170","5:19","5:19"
"5","5:24.4","27:43","1.00","5:24","152","161","4","--","163","1.14","82","5:05","169","5:24","5:24"
"6","5:21.1","33:04","1.00","5:21","143","150","--","2","163","1.14","67","4:50","167","5:21","5:21"
"7","5:29.1","38:33","1.00","5:29","134","137","--","--","163","1.12","48","5:07","168","5:29.1","5:29"
"8","5:19.0","43:52","1.00","5:19","134","139","5","--","163","1.16","47","5:04","168","5:19","5:19"
"9","5:17.3","49:09","1.00","5:17","133","138","--","2","163","1.16","44","4:48","168","5:17","5:17"
"10","0:25.6","49:35","0.08","5:30","135","136","--","--","162","1.12","3","5:23","165","0:25","5:22"
"Summary","49:35","49:35","9.08","5:28","142","168","13","14","163","1.13","622","3:42","216","49:31","5:27"
