"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:04.0","5:04.0","1.00","5:04","120","131","--","6","165","1.20","55","4:39","172","5:03","5:03"
"2","5:25.0","10:29","1.00","5:25","133","144","3","6","163","1.13","70","4:41","170","5:25.0","5:25"
"3","6:01.2","16:30","1.00","6:01","141","153","28","--","164","1.01","84","5:17","170","6:01","6:01"
"4","4:28.3","20:58","0.60","7:26","131","143","2","17","161","0.83","50","5:18","170","3:09","5:14"
"5","0:32.8","21:31","0.17","3:13","113","133","7","--","182","1.71","3","2:00","211","0:32.8","3:13"
"6","0:57.3","22:29","0.18","5:25","138","148","--","--","160","1.15","12","3:29","186","0:57","5:23"
"7","0:30.5","22:59","0.15","3:26","135","146","--","--","183","1.59","5","2:36","205","0:30.5","3:26"
"8","0:54.6","23:54","0.17","5:30","139","145","--","--","164","1.11","11","3:30","190","0:54","5:26"
"9","0:29.7","24:23","0.14","3:39","140","146","--","--","183","1.50","6","2:36","200","0:29.7","3:39"
"10","5:10.5","29:34","0.76","6:48","144","156","10","9","149","0.99","71","4:02","177","5:10","6:48"
"11","0:28.8","30:03","0.14","3:19","147","151","--","9","186","1.61","7","2:26","207","0:28.8","3:19"
"12","1:07.7","31:10","0.17","6:28","151","156","9","--","159","0.97","17","3:20","188","1:07.7","6:28"
"13","0:31.7","31:42","0.14","3:46","157","159","--","6","181","1.47","8","2:57","196","0:31.7","3:46"
"14","1:04.5","32:47","0.16","6:55","156","159","--","--","156","0.93","17","3:39","179","1:04","6:51"
"15","0:32.5","33:19","0.14","3:47","158","162","5","--","181","1.46","8","3:12","196","0:32.5","3:47"
"16","4:48.2","38:07","0.74","6:27","158","167","10","8","156","0.99","77","3:30","187","4:48","6:27"
"17","0:30.7","38:38","0.13","4:02","155","157","--","7","174","1.43","8","3:11","187","0:30.7","4:02"
"18","1:00.5","39:38","0.11","9:00","154","157","--","--","153","0.73","15","4:02","178","1:00","8:56"
"19","0:27.8","40:06","0.12","3:55","154","156","4","--","179","1.43","7","3:11","194","0:27.8","3:55"
"20","1:03.4","41:10","0.14","7:42","156","160","--","--","159","0.82","15","3:49","179","1:03","7:39"
"21","0:23.2","41:33","0.11","3:34","158","160","--","--","187","1.50","6","2:50","202","0:23","3:32"
"22","6:20.8","47:54","1.00","6:21","146","167","11","9","161","0.98","80","3:22","196","5:50","5:50"
"23","6:15.1","54:09","1.00","6:15","135","151","19","48","163","0.98","53","5:11","168","5:44","5:44"
"24","5:46.8","59:56","1.00","5:47","140","148","13","--","164","1.05","60","4:38","172","5:46.8","5:47"
"25","1:44.6","1:01:40","0.36","4:54","139","142","2","--","163","1.25","17","5:01","168","1:44","4:52"
"Summary","1:01:40","1:01:40","10.62","5:48","140","167","124","124","162","1.06","762","2:00","211","59:14","5:35"
