"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:39.2","6:39.2","1.00","6:39","154","173","--","13","156","0.96","99","4:49","189","6:30","6:30"
"2","10:24","17:03","1.00","10:24","140","162","19","4","150","0.64","123","3:38","241","7:20","7:20"
"3","9:16.0","26:19","1.00","9:16","129","158","1","5","152","0.71","83","5:40","238","7:05","7:05"
"4","10:07","36:27","0.41","24:44","100","137","5","5","135","0.30","45","4:41","179","3:36","8:48"
"5","19:58","56:24","1.00","19:58","102","145","5","1","152","0.33","110","3:17","213","6:36","6:36"
"6","4:54.3","1:01:18","1.00","4:54","157","176","--","9","166","1.23","76","4:44","170","4:53","4:53"
"7","4:48.2","1:06:07","1.00","4:48","165","169","5","4","166","1.26","78","4:31","168","4:48","4:48"
"8","4:54.6","1:11:01","1.00","4:55","164","183","10","3","165","1.23","79","4:39","168","4:54","4:54"
"9","4:55.5","1:15:57","1.00","4:56","144","174","--","--","165","1.23","59","4:42","168","4:55.5","4:55"
"10","5:23.6","1:21:20","1.00","5:24","142","152","14","6","164","1.13","60","4:53","166","5:23","5:23"
"11","5:01.8","1:26:22","1.00","5:02","145","149","5","--","165","1.21","59","4:44","168","5:01.8","5:02"
"12","5:05.9","1:31:28","1.00","5:06","145","148","--","3","164","1.20","60","4:50","166","5:05","5:05"
"13","5:00.9","1:36:29","1.00","5:01","143","147","--","6","164","1.22","54","4:50","166","5:00.9","5:01"
"14","4:57.3","1:41:26","1.00","4:57","143","149","--","10","164","1.23","51","4:32","168","4:57.3","4:57"
"15","5:10.1","1:46:36","1.00","5:10","143","147","--","4","164","1.18","54","4:59","166","5:10","5:10"
"16","5:13.2","1:51:50","1.00","5:13","145","149","4","--","164","1.17","56","4:56","170","5:13","5:13"
"17","3:22.8","1:55:13","0.61","5:30","148","154","9","--","163","1.11","40","4:54","166","3:15","5:18"
"Summary","1:55:13","1:55:13","16.02","7:11","134","183","77","74","159","0.87","1,186","3:17","241","1:29:44","5:36"
