"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:47.8","5:47.8","1.00","5:48","128","134","--","--","163","1.06","73","5:20","166","5:47.8","5:48"
"2","5:18.0","11:06","1.00","5:18","135","137","7","3","164","1.15","71","5:09","167","5:18.0","5:18"
"3","5:18.0","16:24","1.00","5:18","139","141","17","--","164","1.15","74","5:11","168","5:18.0","5:18"
"4","5:15.7","21:39","1.00","5:16","142","144","--","1","164","1.16","73","4:51","168","5:15.7","5:16"
"5","5:14.8","26:54","1.00","5:15","146","147","7","2","164","1.16","77","4:51","168","5:14.8","5:15"
"6","5:15.9","32:10","1.00","5:16","149","150","--","--","165","1.15","80","5:08","168","5:15","5:15"
"7","5:35.7","37:46","1.00","5:36","150","150","13","33","163","1.10","85","5:06","170","5:35.7","5:36"
"8","5:19.0","43:05","1.00","5:19","149","150","--","--","163","1.16","79","4:59","168","5:19.0","5:19"
"9","5:13.7","48:18","1.00","5:14","150","150","1","6","163","1.17","77","5:05","166","5:13","5:13"
"10","1:12.7","49:31","0.21","5:43","150","150","--","--","160","1.09","17","4:27","165","1:12.7","5:43"
"Summary","49:31","49:31","9.21","5:22","143","150","45","45","164","1.14","706","4:27","170","49:30","5:22"
