"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","8:16.9","8:16.9","1.00","8:17","127","138","4","4","150","0.80","86","4:48","199","6:38","6:38"
"2","19:17","27:34","0.43","45:03","85","125","--","--","128","0.17","50","8:45","216","7:00","16:20"
"3","7:54.2","35:28","0.92","8:38","114","136","5","5","159","0.73","60","3:55","179","5:10","5:39"
"4","3:05.9","38:34","0.43","7:13","123","136","5","5","158","0.88","28","4:40","165","2:16","5:16"
"5","4:30.6","43:04","1.00","4:31","128","137","5","10","168","1.32","45","3:11","185","4:03","4:03"
"6","7:06.7","50:11","1.00","7:07","125","138","4","4","157","0.90","62","1:56","225","6:01","6:01"
"7","8:48.4","58:59","1.00","8:48","113","136","4","3","148","0.77","58","4:35","166","7:39","7:39"
"8","6:52.8","1:05:52","1.00","6:53","136","139","8","4","155","0.94","80","5:25","175","6:28","6:28"
"9","11:05","1:16:57","1.00","11:04","121","138","4","5","146","0.62","74","4:49","209","7:59","7:59"
"10","16:59","1:33:56","1.00","16:59","114","138","--","--","147","0.40","78","3:06","202","11:19","11:19"
"11","10:26","1:44:23","1.00","10:27","120","136","1","3","152","0.63","62","2:57","244","6:47","6:47"
"12","6:52.4","1:51:15","1.00","6:52","131","138","8","16","156","0.93","66","3:21","186","6:15","6:15"
"13","6:09.5","1:57:25","1.00","6:10","140","142","10","--","160","1.01","75","5:33","179","6:09.5","6:10"
"14","0:17.3","1:57:42","0.05","5:17","142","142","--","--","161","1.18","3","5:40","162","0:17","5:11"
"Summary","1:57:42","1:57:42","11.83","9:57","119","142","58","59","152","0.66","827","1:56","244","1:24:02","7:06"
