"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:50.3","5:50.3","1.00","5:50","151","175","3","--","160","1.07","84","5:21","164","5:50","5:50"
"2","5:21.0","11:11","1.00","5:21","126","135","9","--","164","1.14","54","5:04","166","5:19","5:19"
"3","5:07.2","16:18","1.00","5:07","134","141","4","--","164","1.19","59","5:02","168","5:07","5:07"
"4","5:04.4","21:23","1.00","5:04","135","139","8","--","163","1.21","58","4:53","166","5:04","5:04"
"5","5:02.1","26:25","1.00","5:02","137","141","--","--","164","1.21","59","4:44","166","5:02.1","5:02"
"6","5:00.3","31:25","1.00","5:00","138","140","--","11","164","1.22","58","4:46","166","5:00","5:00"
"7","5:10.1","36:35","1.00","5:10","139","143","8","8","164","1.18","61","4:59","168","5:10","5:10"
"8","5:15.4","41:51","1.00","5:15","139","143","5","--","164","1.16","59","5:12","168","5:15","5:15"
"9","5:05.8","46:57","1.00","5:06","136","143","7","--","164","1.20","52","4:57","168","5:05","5:05"
"10","5:07.2","52:04","1.00","5:07","139","143","--","14","164","1.19","56","4:48","166","5:07.2","5:07"
"11","5:03.3","57:07","1.00","5:03","134","140","--","12","164","1.21","44","4:45","168","5:02","5:02"
"12","5:15.0","1:02:22","1.00","5:15","135","143","1","--","162","1.17","46","4:33","166","5:15","5:15"
"13","2:16.0","1:04:38","0.45","5:03","137","141","--","--","162","1.22","21","4:54","166","2:16","5:03"
"Summary","1:04:38","1:04:38","12.45","5:12","137","175","46","44","163","1.18","711","4:33","168","1:04:32","5:11"
