"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:29.1","5:29.1","1.00","5:29","133","147","3","3","162","1.13","71","5:11","166","5:27","5:27"
"2","5:33.8","11:03","1.00","5:34","132","144","15","4","162","1.11","69","4:41","170","5:32","5:32"
"3","5:12.2","16:15","1.00","5:12","142","146","4","--","166","1.16","74","4:29","170","5:12","5:12"
"4","5:13.8","21:29","1.00","5:14","143","148","7","--","164","1.16","73","4:59","168","5:13.8","5:14"
"5","5:11.2","26:40","1.00","5:11","143","147","4","4","164","1.17","70","5:03","168","5:11","5:11"
"6","5:06.2","31:46","1.00","5:06","146","149","--","6","164","1.19","72","4:51","168","5:06","5:06"
"7","5:09.8","36:56","1.00","5:10","145","148","5","6","164","1.18","70","5:03","168","5:09.8","5:10"
"8","5:15.1","42:11","1.00","5:15","145","150","5","--","164","1.16","69","5:00","168","5:15","5:15"
"9","5:20.3","47:31","1.00","5:20","141","146","8","--","163","1.15","63","5:04","168","5:20.3","5:20"
"10","5:14.3","52:46","1.00","5:14","143","149","--","18","164","1.16","64","5:01","168","5:14.3","5:14"
"11","5:13.7","57:59","1.00","5:14","141","146","--","4","164","1.17","57","5:03","168","5:13","5:13"
"12","5:18.4","1:03:18","1.00","5:18","140","149","5","6","163","1.16","54","4:37","168","5:18.4","5:18"
"13","1:44.2","1:05:02","0.33","5:13","140","143","--","--","162","1.18","18","4:58","166","1:44","5:12"
"Summary","1:05:02","1:05:02","12.33","5:16","141","150","55","51","164","1.16","824","4:29","170","1:04:57","5:16"
