"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:08.5","5:08.5","1.00","5:08","117","131","--","12","162","1.20","64","4:55","166","5:08.5","5:08"
"2","4:58.0","10:06","0.85","5:52","127","133","17","--","161","1.06","61","4:56","166","4:54","5:47"
"3","1:01.3","11:08","0.26","4:00","134","143","4","--","167","1.49","14","3:45","170","1:01","3:59"
"4","1:01.0","12:09","0.23","4:29","145","146","--","--","164","1.36","16","4:00","168","1:01.0","4:29"
"5","1:00.7","13:09","0.26","3:55","146","151","--","--","168","1.51","16","3:55","172","1:00.7","3:55"
"6","1:01.2","14:11","0.22","4:34","152","153","--","--","166","1.32","16","3:55","170","1:01","4:34"
"7","1:00.9","15:12","0.26","3:56","152","153","--","5","168","1.51","17","3:54","170","1:00.9","3:56"
"8","1:00.8","16:12","0.22","4:35","152","154","--","--","166","1.31","16","3:55","170","1:00.8","4:35"
"9","1:01.9","17:14","0.26","3:59","153","157","--","--","168","1.49","16","4:01","172","1:01","3:56"
"10","1:00.3","18:15","0.22","4:39","154","157","--","--","166","1.30","17","4:01","172","1:00.3","4:39"
"11","1:02.8","19:17","0.26","3:58","155","156","4","--","169","1.50","17","3:55","172","1:02","3:55"
"12","1:00.5","20:18","0.22","4:38","154","156","--","--","165","1.31","17","4:04","168","1:00.5","4:38"
"13","1:01.4","21:19","0.26","3:56","156","159","--","5","169","1.50","17","3:55","173","1:01","3:54"
"14","1:00.4","22:20","0.22","4:35","155","160","--","--","165","1.32","16","4:00","168","1:00.4","4:35"
"15","1:01.4","23:21","0.24","4:16","153","157","5","--","168","1.39","16","4:13","172","1:01","4:14"
"16","1:00.8","24:22","0.25","4:08","153","157","--","10","166","1.46","16","4:13","172","1:00.8","4:08"
"17","1:00.7","25:23","0.26","3:56","154","159","--","3","168","1.51","16","4:02","170","1:00.7","3:56"
"18","1:02.0","26:25","0.22","4:37","156","160","--","--","165","1.31","17","4:14","170","1:02.0","4:37"
"19","1:00.8","27:25","0.25","3:58","153","157","--","--","169","1.49","16","3:49","174","1:00","3:55"
"20","1:00.7","28:26","0.22","4:36","158","159","--","--","167","1.30","17","3:44","177","1:00.7","4:36"
"21","1:00.6","29:27","0.26","3:49","157","161","--","4","169","1.55","17","3:28","174","1:00.6","3:49"
"22","1:01.7","30:28","0.22","4:41","161","163","--","--","165","1.29","17","4:01","172","1:01","4:38"
"23","1:00.9","31:29","0.26","3:52","161","163","--","2","168","1.54","17","3:32","172","1:00.9","3:52"
"24","1:00.4","32:30","0.21","4:45","158","161","--","--","165","1.27","17","4:35","168","1:00.4","4:45"
"25","1:01.3","33:31","0.25","4:03","161","164","--","3","171","1.45","17","3:45","175","1:01","4:02"
"26","0:59.7","34:31","0.21","4:39","163","166","--","--","166","1.29","17","3:46","172","0:59.7","4:39"
"27","1:00.2","35:31","0.26","3:54","164","165","--","--","171","1.50","17","3:42","174","1:00","3:53"
"28","1:01.2","36:32","0.21","4:53","162","165","4","--","166","1.24","17","3:49","172","1:01","4:52"
"29","1:00.7","37:33","0.26","3:53","166","170","--","--","171","1.51","18","3:41","177","1:00.7","3:53"
"30","5:04.2","42:37","0.93","5:26","148","170","11","--","161","1.14","69","3:59","173","5:04","5:25"
"Summary","42:37","42:37","9.25","4:36","146","170","45","44","165","1.31","641","3:28","177","42:28","4:35"
