"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:31.5","3:31.5","1.00","3:31","160","170","2","7","176","1.62","60","3:22","179","3:31","3:31"
"2","3:43.8","7:15.3","1.00","3:44","172","174","5","7","174","1.54","69","3:34","177","3:43.8","3:44"
"3","3:51.2","11:06","1.00","3:51","173","176","9","9","173","1.50","72","3:43","177","3:51","3:51"
"4","6:29.8","17:36","1.00","6:30","149","175","8","8","154","1.00","99","3:54","176","5:49","5:49"
"5","4:49.3","22:26","1.00","4:49","157","159","--","--","166","1.25","81","4:40","168","4:49","4:49"
"6","4:29.3","26:55","0.84","5:19","159","161","6","--","166","1.13","76","4:47","170","4:29.3","5:19"
"Summary","26:55","26:55","5.84","4:36","160","176","30","32","167","1.29","457","3:22","179","26:13","4:29"
