"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:51.9","5:51.9","1.00","5:52","119","146","--","4","164","1.04","62","5:24","168","5:51.9","5:52"
"2","6:29.7","12:22","1.00","6:30","120","138","14","11","158","0.97","65","4:02","177","6:05","6:05"
"3","5:26.1","17:48","1.00","5:26","126","133","6","1","163","1.13","59","5:20","171","5:26","5:26"
"4","5:16.5","23:04","1.00","5:16","134","140","--","3","164","1.16","64","4:54","166","5:16","5:16"
"5","4:05.7","27:10","0.74","5:32","139","147","--","--","164","1.11","53","4:19","195","4:05.7","5:32"
"Summary","27:10","27:10","4.74","5:44","127","147","20","20","162","1.07","303","4:02","195","26:45","5:38"
