"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:58.4","4:58.4","1.00","4:58","128","139","--","5","164","1.23","61","4:41","168","4:58","4:58"
"2","4:49.3","9:47.7","1.00","4:49","134","145","--","9","166","1.25","62","4:43","170","4:49","4:49"
"3","4:50.1","14:38","1.00","4:50","145","149","6","--","168","1.23","71","4:39","174","4:50","4:50"
"4","4:53.7","19:31","1.00","4:54","147","150","--","--","168","1.22","72","4:37","170","4:53.7","4:54"
"5","4:53.9","24:25","1.00","4:54","147","150","--","4","168","1.22","71","4:48","172","4:53.9","4:54"
"6","4:50.0","29:15","1.00","4:50","150","153","18","8","167","1.24","72","4:38","174","4:50","4:50"
"7","4:53.8","34:09","1.00","4:54","149","153","--","5","167","1.22","71","4:41","170","4:53","4:53"
"8","4:54.8","39:04","1.00","4:55","149","152","5","2","167","1.22","71","4:36","170","4:54.8","4:55"
"9","4:57.3","44:01","1.00","4:57","150","155","7","--","167","1.21","70","4:47","172","4:57.3","4:57"
"10","5:04.9","49:06","1.00","5:05","148","152","--","3","166","1.18","68","4:30","170","5:04","5:04"
"11","4:59.7","54:06","1.00","5:00","149","152","--","5","167","1.20","67","4:46","170","4:59.7","5:00"
"12","4:47.0","58:53","1.00","4:47","149","153","--","--","167","1.25","64","4:38","171","4:47","4:47"
"13","4:52.2","1:03:45","1.00","4:52","149","153","--","--","167","1.23","64","4:37","170","4:52","4:52"
"14","4:46.0","1:08:31","1.00","4:46","150","156","--","1","166","1.26","63","3:51","177","4:46","4:46"
"15","4:53.2","1:13:24","1.00","4:53","150","154","4","5","167","1.23","63","4:37","172","4:53.2","4:53"
"16","4:52.0","1:18:16","1.00","4:52","149","155","--","7","166","1.23","61","4:44","172","4:52.0","4:52"
"17","4:50.3","1:23:07","1.00","4:50","149","152","5","--","167","1.24","60","4:33","172","4:50","4:50"
"18","5:06.4","1:28:13","1.00","5:06","150","156","11","3","167","1.18","64","4:45","170","5:06","5:06"
"19","2:37.7","1:30:51","0.50","5:15","145","151","--","--","165","1.15","24","4:27","168","2:37","5:13"
"Summary","1:30:51","1:30:51","18.50","4:55","147","156","56","59","167","1.22","1,219","3:51","177","1:30:47","4:54"
