"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:52.1","4:52.1","1.00","4:52","129","148","--","--","166","1.24","60","4:37","247","4:52","4:52"
"2","4:34.1","9:26.2","1.00","4:34","147","152","9","13","166","1.32","70","4:25","172","4:34","4:34"
"3","4:25.9","13:52","1.00","4:26","152","160","6","6","167","1.35","70","4:18","170","4:25.9","4:26"
"4","4:22.6","18:15","1.00","4:23","155","164","--","4","168","1.36","70","4:11","172","4:22.6","4:23"
"5","4:06.8","22:22","1.00","4:07","167","174","--","3","170","1.43","70","3:49","175","4:06.8","4:07"
"6","4:27.0","26:48","1.00","4:27","164","171","11","--","171","1.32","74","3:55","175","4:27.0","4:27"
"7","0:52.0","27:40","0.21","4:08","166","171","--","--","171","1.41","14","3:53","174","0:52.0","4:08"
"Summary","27:40","27:40","6.21","4:27","152","174","26","27","168","1.34","428","3:49","247","27:40","4:27"
