"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:44.7","5:44.7","1.00","5:45","106","111","4","--","160","1.09","42","4:49","168","5:21","5:21"
"2","5:20.9","11:06","1.00","5:21","104","112","5","2","162","1.16","37","4:31","166","5:20","5:20"
"3","5:16.9","16:22","1.00","5:17","111","113","15","--","164","1.16","39","5:11","166","5:16","5:16"
"4","5:21.8","21:44","1.00","5:22","114","116","6","--","162","1.15","44","5:06","165","5:21.8","5:22"
"5","5:22.2","27:06","1.00","5:22","118","120","5","5","161","1.16","46","5:01","165","5:22","5:22"
"6","5:27.8","32:34","1.00","5:28","122","123","--","--","160","1.14","49","5:18","164","5:27.8","5:28"
"7","5:26.4","38:01","1.00","5:26","125","127","6","13","160","1.15","52","5:05","162","5:26.4","5:26"
"8","5:26.7","43:27","1.00","5:27","128","128","--","11","160","1.15","52","5:05","164","5:26","5:26"
"9","5:02.6","48:30","1.00","5:03","118","128","--","8","160","1.24","39","4:17","164","5:02","5:02"
"10","3:00.6","51:30","0.63","4:48","121","122","9","12","162","1.28","23","4:31","166","3:00.6","4:48"
"Summary","51:30","51:30","9.63","5:21","116","128","51","51","161","1.16","423","4:17","168","51:04","5:18"
