"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:55.3","4:55.3","1.00","4:55","129","141","--","6","165","1.23","62","4:25","170","4:55","4:55"
"2","5:07.6","10:03","1.00","5:08","138","145","12","3","165","1.18","72","4:48","168","5:07.6","5:08"
"3","4:58.0","15:01","1.00","4:58","138","143","11","10","164","1.22","67","4:41","168","4:58.0","4:58"
"4","5:03.5","20:04","1.00","5:03","140","144","6","4","164","1.21","69","4:59","168","5:03","5:03"
"5","5:02.2","25:06","1.00","5:02","142","148","--","5","165","1.20","70","5:01","168","5:02.2","5:02"
"6","4:54.1","30:01","1.00","4:54","142","145","2","12","165","1.24","66","4:50","170","4:54","4:54"
"7","4:56.9","34:58","1.00","4:57","144","149","--","6","166","1.22","68","4:48","170","4:56.9","4:57"
"8","4:59.5","39:57","1.00","4:59","149","158","--","2","166","1.21","74","4:50","170","4:59","4:59"
"9","5:07.2","45:04","1.00","5:07","148","155","12","--","165","1.18","72","4:58","168","5:07","5:07"
"10","2:47.1","47:51","0.53","5:14","148","152","--","--","165","1.16","39","5:03","166","2:47","5:14"
"Summary","47:51","47:51","9.53","5:01","142","158","44","46","165","1.21","659","4:25","170","47:50","5:01"
