"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","7:42.1","7:42.1","1.00","7:42","117","141","5","6","150","0.87","72","4:47","183","7:42","7:42"
"2","16:57","24:39","1.00","16:57","105","135","4","4","143","0.41","111","3:09","248","11:38","11:38"
"3","6:28.4","31:08","0.32","20:15","108","136","--","--","130","0.38","43","2:32","187","3:24","10:38"
"4","24:50","55:57","1.00","24:50","102","156","--","5","130","0.31","137","5:20","168","12:02","12:02"
"5","5:46.8","1:01:44","1.00","5:47","139","155","5","--","162","1.07","74","4:02","166","5:46.8","5:47"
"6","13:27","1:15:11","1.00","13:28","135","163","1","1","150","0.50","147","3:49","241","8:43","8:43"
"7","20:33","1:35:45","1.00","20:33","110","163","3","6","137","0.36","113","3:28","195","8:53","8:53"
"8","3:14.5","1:38:59","0.60","5:26","159","171","--","9","163","1.13","51","4:10","172","3:14.5","5:26"
"9","4:35.9","1:43:35","1.00","4:36","165","173","5","5","168","1.29","76","2:36","205","4:35.9","4:36"
"10","5:22.9","1:48:58","0.86","6:14","159","172","--","--","161","1.00","84","3:07","189","4:52","5:38"
"11","4:19.4","1:53:17","1.00","4:19","167","174","--","3","171","1.36","72","3:09","187","4:19","4:19"
"12","5:42.0","1:58:59","0.93","6:07","155","171","--","--","161","1.02","76","2:58","196","5:42","6:07"
"13","4:11.3","2:03:11","1.00","4:11","160","171","--","--","172","1.39","63","2:58","194","4:11","4:11"
"14","5:48.4","2:08:59","0.93","6:14","152","169","--","--","161","1.00","73","2:57","194","5:48.4","6:14"
"15","4:27.4","2:13:26","1.00","4:27","154","168","7","2","172","1.31","60","3:04","195","4:27","4:27"
"16","6:45.5","2:20:12","1.00","6:46","145","175","10","--","159","0.93","64","2:10","207","6:45.5","6:45"
"17","2:42.1","2:22:54","0.42","6:25","134","139","--","5","158","0.99","14","5:33","233","2:42","6:25"
"Summary","2:22:54","2:22:54","15.06","9:29","127","175","40","46","153","0.68","1,330","2:10","248","1:44:46","6:57"
