"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:34.3","5:34.3","1.00","5:34","135","149","--","1","163","1.10","74","4:39","168","5:34.3","5:34"
"2","5:03.4","10:38","1.00","5:03","142","150","15","13","165","1.20","73","4:41","168","5:03","5:03"
"3","5:01.7","15:39","1.00","5:02","142","146","16","24","163","1.22","70","4:52","168","5:01","5:01"
"4","5:18.7","20:58","1.00","5:19","148","158","19","6","164","1.15","79","5:04","168","5:18.7","5:19"
"5","5:17.1","26:15","1.00","5:17","148","155","5","--","163","1.16","78","5:13","166","5:17","5:17"
"6","5:16.2","31:31","1.00","5:16","142","146","--","6","162","1.17","68","5:05","164","5:16","5:16"
"7","5:13.6","36:45","1.00","5:14","141","152","--","4","162","1.18","62","4:39","164","5:12","5:12"
"8","2:19.3","39:04","0.43","5:22","140","141","--","2","161","1.15","26","5:09","164","2:19","5:21"
"Summary","39:04","39:04","7.43","5:15","142","158","54","54","163","1.17","530","4:39","168","39:01","5:15"
