"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:23.7","6:23.7","1.00","6:24","131","136","--","7","160","0.98","80","4:36","168","5:56","5:56"
"2","4:57.4","11:21","1.00","4:57","134","138","16","4","165","1.23","64","4:39","168","4:57","4:57"
"3","7:54.6","19:16","1.00","7:55","135","141","--","8","165","0.77","97","4:49","200","7:14","7:14"
"4","6:43.6","25:59","1.00","6:44","134","144","10","--","163","0.91","77","4:42","168","5:22","5:22"
"5","4:41.7","30:41","1.00","4:42","144","146","--","17","164","1.30","66","4:30","170","4:41.7","4:42"
"6","7:22.4","38:03","1.00","7:22","144","149","10","5","158","0.86","96","4:38","240","6:18","6:18"
"7","6:39.2","44:43","1.00","6:39","149","152","--","--","161","0.94","93","4:47","168","6:01","6:01"
"8","3:23.6","48:06","0.67","5:03","153","153","6","--","164","1.21","51","4:51","166","3:23","5:02"
"Summary","48:06","48:06","7.67","6:16","140","153","41","41","162","0.98","624","4:30","240","43:53","5:43"
