"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:49.1","4:49.1","1.00","4:49","130","154","--","11","162","1.28","58","4:23","168","4:49","4:49"
"2","5:57.8","10:47","1.00","5:58","137","147","14","--","162","1.03","78","4:39","168","5:19","5:19"
"3","4:53.8","15:41","1.00","4:54","143","150","6","3","165","1.24","69","4:39","168","4:53.8","4:54"
"4","4:59.6","20:40","1.00","5:00","144","149","4","8","164","1.22","69","4:48","168","4:59.6","5:00"
"5","4:44.8","25:25","1.00","4:45","149","154","3","--","164","1.28","68","4:38","168","4:44","4:44"
"6","5:08.7","30:34","1.00","5:09","145","152","--","14","162","1.20","69","4:39","166","5:08.7","5:09"
"7","4:51.5","35:26","1.00","4:52","145","152","1","5","164","1.25","64","4:37","168","4:51.5","4:52"
"8","4:52.1","40:18","1.00","4:52","152","163","5","5","165","1.25","71","4:41","168","4:52","4:52"
"9","4:57.7","45:15","1.00","4:58","155","165","10","--","165","1.22","74","4:47","170","4:57","4:57"
"10","4:18.7","49:34","1.00","4:19","162","168","--","--","168","1.38","69","4:00","172","4:18.7","4:19"
"11","0:05.8","49:40","0.02","4:53","164","165","--","--","170","1.21","1","4:02","172","0:05.8","4:53"
"Summary","49:40","49:40","10.02","4:57","146","168","43","45","164","1.23","690","4:00","172","48:59","4:53"
