"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:21.1","6:21.1","1.00","6:21","137","160","2","2","162","0.97","82","5:58","168","6:21.1","6:21"
"2","6:20.1","12:41","1.00","6:20","129","144","4","4","161","0.98","70","3:36","179","6:15","6:15"
"3","6:25.8","19:07","1.00","6:26","127","135","--","--","160","0.97","64","4:43","170","6:25","6:25"
"4","6:54.0","26:01","1.00","6:54","121","130","8","6","159","0.91","61","6:15","168","6:54","6:54"
"5","6:34.3","32:35","1.00","6:34","123","128","--","7","159","0.96","55","6:12","162","6:34.3","6:34"
"6","4:44.0","37:19","1.00","4:44","127","135","7","3","165","1.28","42","3:29","179","4:42","4:42"
"7","5:29.3","42:49","1.00","5:29","127","151","2","--","162","1.12","49","4:38","168","5:29.3","5:29"
"8","12:25","55:14","1.00","12:25","126","167","1","--","162","0.50","103","4:33","166","5:05","5:05"
"9","2:10.1","57:24","0.39","5:30","146","153","--","2","164","1.11","29","5:15","168","2:09","5:27"
"Summary","57:24","57:24","8.39","6:50","128","167","24","25","161","0.91","555","3:29","179","49:55","5:57"
