"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:45.8","5:45.8","1.00","5:46","153","174","--","--","164","1.06","89","4:31","175","5:45.8","5:46"
"2","5:23.2","11:09","1.00","5:23","165","168","--","4","165","1.12","91","5:14","168","5:23.2","5:23"
"3","5:49.7","16:59","1.00","5:50","164","172","--","--","163","1.05","96","3:30","219","5:49.7","5:50"
"4","5:47.1","22:46","1.00","5:47","166","173","6","--","164","1.05","97","5:14","172","5:46","5:46"
"5","1:43.7","24:29","0.30","5:47","169","176","--","--","164","1.05","29","5:19","167","1:43.7","5:47"
"Summary","24:29","24:29","4.30","5:42","162","176","6","4","164","1.07","402","3:30","219","24:28","5:42"
